7,※大項目,地域コード,地域識別コード,境域年次(2010),境域年次(2000),,人口　総数,人口　男,人口　女,世帯数　総数,世帯数　一般世帯,世帯数　施設等の世帯
11,,6201,2,2010,2000,山形市,254244,121433,132811,96560,96425,135
12,,6202,2,2010,2000,米沢市,89401,43953,45448,33013,32920,93
13,,6203,2,2010,,鶴岡市,136623,64846,71777,45514,45395,119
20,,6204,2,2010,,酒田市,111151,52610,58541,38955,38860,95
25,,6205,2,2010,2000,新庄市,38850,18432,20418,12980,12958,22
26,,6206,2,2010,2000,寒河江市,42373,20497,21876,12717,12702,15
27,,6207,2,2010,2000,上山市,33836,16036,17800,10751,10709,42
28,,6208,2,2010,2000,村山市,26811,12846,13965,7865,7860,5
29,,6209,2,2010,2000,長井市,29473,14211,15262,9269,9228,41
30,,6210,2,2010,2000,天童市,62214,30148,32066,20404,20338,66
31,,6211,2,2010,2000,東根市,46414,22934,23480,14388,14343,45
32,,6212,2,2010,2000,尾花沢市,18955,9138,9817,5332,5320,12
33,,6213,2,2010,2000,南陽市,33658,16025,17633,10567,10538,29
